Y,Mes,Dia,Anyo,Hora,Minuto,AgroTemp,AgroHum
9.4,11,18,2021,20,50,8.4,94.3
10.1,11,18,2021,20,40,8.4,94.3
11.6,11,18,2021,20,30,8.4,94.3
12.9,11,18,2021,20,20,8.4,94.3
13.4,11,18,2021,20,10,8.4,94.3
13.0,11,18,2021,19,59,8.4,94.3
13.4,11,18,2021,19,49,8.4,94.3
14.8,11,18,2021,19,39,8.4,94.3
16.2,11,18,2021,19,30,8.4,94.3
17.2,11,18,2021,19,20,8.4,94.3
18.1,11,18,2021,19,10,8.4,94.3
18.8,11,18,2021,19,0,8.4,94.3
19.3,11,18,2021,18,50,8.4,94.3
20.2,11,18,2021,18,40,8.4,94.3
20.4,11,18,2021,18,30,8.4,94.3
20.9,11,18,2021,18,20,8.4,94.3
21.5,11,18,2021,18,10,8.4,94.3
21.6,11,18,2021,18,0,8.4,94.3
22.0,11,18,2021,17,50,8.4,94.3
21.8,11,18,2021,17,40,8.4,94.3
19.9,11,18,2021,17,30,8.4,94.3
22.9,11,18,2021,17,20,8.4,94.3
20.6,11,18,2021,17,10,8.4,94.3
22.7,11,18,2021,17,0,8.4,94.3
22.4,11,18,2021,16,50,8.4,94.3
22.9,11,18,2021,16,40,8.4,94.3
23.4,11,18,2021,16,30,8.4,94.3
23.3,11,18,2021,16,20,8.4,94.3
20.9,11,18,2021,16,10,8.4,94.3
20.7,11,18,2021,16,0,8.4,94.3
18.7,11,18,2021,15,50,8.4,94.3
18.4,11,18,2021,15,40,8.4,94.3
21.2,11,18,2021,15,30,8.4,94.3
20.4,11,18,2021,15,20,8.4,94.3
21.9,11,18,2021,15,10,8.4,94.3
22.3,11,18,2021,15,0,8.4,94.3
22.5,11,18,2021,14,50,8.4,94.3
22.8,11,18,2021,14,40,8.4,94.3
22.6,11,18,2021,14,30,8.4,94.3
22.4,11,18,2021,14,20,8.4,94.3
22.9,11,18,2021,14,10,8.4,94.3
23.3,11,18,2021,14,0,8.4,94.3
22.7,11,18,2021,13,50,8.4,94.3
22.5,11,18,2021,13,40,8.4,94.3
22.1,11,18,2021,13,30,8.4,94.3
22.7,11,18,2021,13,20,8.4,94.3
20.4,11,18,2021,13,10,8.4,94.3
20.4,11,18,2021,13,0,8.4,94.3
19.4,11,18,2021,12,50,8.4,94.3
19.0,11,18,2021,12,40,8.4,94.3
19.3,11,18,2021,12,30,8.4,94.3
19.1,11,18,2021,12,20,8.4,94.3
19.1,11,18,2021,12,10,8.4,94.3
18.7,11,18,2021,12,0,8.4,94.3
20.4,11,18,2021,11,50,8.4,94.3
20.8,11,18,2021,11,40,8.4,94.3
20.3,11,18,2021,11,30,8.4,94.3
19.4,11,18,2021,11,20,8.4,94.3
18.2,11,18,2021,11,10,8.4,94.3
17.5,11,18,2021,11,0,8.4,94.3
16.6,11,18,2021,10,50,8.4,94.3
16.8,11,18,2021,10,40,8.4,94.3
16.7,11,18,2021,10,30,8.4,94.3
17.9,11,18,2021,10,20,8.4,94.3
17.2,11,18,2021,10,10,8.4,94.3
16.5,11,18,2021,10,0,8.4,94.3
15.6,11,18,2021,9,50,8.4,94.3
14.8,11,18,2021,9,40,8.4,94.3
14.6,11,18,2021,9,30,8.4,94.3
13.9,11,18,2021,9,20,8.4,94.3
13.7,11,18,2021,9,10,8.4,94.3
13.9,11,18,2021,9,0,8.4,94.3
13.9,11,18,2021,8,50,8.4,94.3
13.9,11,18,2021,8,40,8.4,94.3
14.7,11,18,2021,8,30,8.4,94.3
14.5,11,18,2021,8,20,8.4,94.3
13.9,11,18,2021,8,10,8.4,94.3
13.4,11,18,2021,8,0,8.4,94.3
13.1,11,18,2021,7,50,8.4,94.3
13.0,11,18,2021,7,40,8.4,94.3
12.5,11,18,2021,7,30,8.4,94.3
12.3,11,18,2021,7,20,8.4,94.3
11.9,11,18,2021,7,10,8.4,94.3
12.2,11,18,2021,7,0,8.4,94.3
11.8,11,18,2021,6,50,8.4,94.3
11.6,11,18,2021,6,40,8.4,94.3
11.4,11,18,2021,6,30,8.4,94.3
11.1,11,18,2021,6,20,8.4,94.3
10.8,11,18,2021,6,10,8.4,94.3
10.8,11,18,2021,6,0,8.4,94.3
10.8,11,18,2021,5,50,8.4,94.3
10.8,11,18,2021,5,40,8.4,94.3
10.8,11,18,2021,5,30,8.4,94.3
10.8,11,18,2021,5,20,8.4,94.3
10.5,11,18,2021,5,10,8.4,94.3
9.7,11,18,2021,5,0,8.4,94.3
10.9,11,18,2021,4,50,8.4,94.3
10.9,11,18,2021,4,40,8.4,94.3
10.9,11,18,2021,4,30,8.4,94.3
10.9,11,18,2021,4,20,8.4,94.3
11.1,11,18,2021,4,10,8.4,94.3
11.2,11,18,2021,4,0,8.4,94.3
11.4,11,18,2021,3,50,8.4,94.3
11.0,11,18,2021,3,40,8.4,94.3
11.5,11,18,2021,3,30,8.4,94.3
11.4,11,18,2021,3,20,8.4,94.3
11.3,11,18,2021,3,10,8.4,94.3
11.4,11,18,2021,3,0,8.4,94.3
11.4,11,18,2021,2,50,8.4,94.3
11.4,11,18,2021,2,40,8.4,94.3
11.4,11,18,2021,2,30,8.4,94.3
11.3,11,18,2021,2,20,8.4,94.3
11.5,11,18,2021,2,10,8.4,94.3
11.3,11,18,2021,2,0,8.4,94.3
11.3,11,18,2021,1,50,8.4,94.3
11.4,11,18,2021,1,40,8.4,94.3
11.4,11,18,2021,1,30,8.4,94.3
11.4,11,18,2021,1,20,8.4,94.3
11.6,11,18,2021,1,10,8.4,94.3
11.5,11,18,2021,1,0,8.4,94.3
11.4,11,18,2021,0,50,8.4,94.3
11.5,11,18,2021,0,40,8.4,94.3
11.3,11,18,2021,0,30,8.4,94.3
11.4,11,18,2021,0,20,8.4,94.3
11.2,11,18,2021,0,10,8.4,94.3
10.9,11,18,2021,0,0,8.4,94.3
10.7,11,17,2021,23,50,8.4,91.8
10.3,11,17,2021,23,40,8.4,91.8
9.9,11,17,2021,23,30,8.4,91.8
8.8,11,17,2021,23,20,8.4,91.8
8.4,11,17,2021,23,10,8.4,91.8
9.3,11,17,2021,23,0,8.4,91.8
10.2,11,17,2021,22,50,8.4,91.8
10.5,11,17,2021,22,40,8.4,91.8
11.2,11,17,2021,22,30,8.4,91.8
11.4,11,17,2021,22,20,8.4,91.8
11.7,11,17,2021,22,10,8.4,91.8
12.2,11,17,2021,22,0,8.4,91.8
12.5,11,17,2021,21,50,8.4,91.8
12.6,11,17,2021,21,40,8.4,91.8
12.4,11,17,2021,21,30,8.4,91.8
12.3,11,17,2021,21,20,8.4,91.8
12.5,11,17,2021,21,10,8.4,91.8
12.1,11,17,2021,21,0,8.4,91.8
12.9,11,17,2021,20,50,8.4,91.8
13.2,11,17,2021,20,40,8.4,91.8
12.7,11,17,2021,20,30,8.4,91.8
13.4,11,17,2021,20,20,8.4,91.8
13.5,11,17,2021,20,10,8.4,91.8
13.6,11,17,2021,20,0,8.4,91.8
13.4,11,17,2021,19,50,8.4,91.8
14.0,11,17,2021,19,40,8.4,91.8
14.7,11,17,2021,19,30,8.4,91.8
15.1,11,17,2021,19,20,8.4,91.8
15.3,11,17,2021,19,10,8.4,91.8
14.6,11,17,2021,19,0,8.4,91.8
15.6,11,17,2021,18,50,8.4,91.8
15.3,11,17,2021,18,40,8.4,91.8
15.4,11,17,2021,18,30,8.4,91.8
16.6,11,17,2021,18,20,8.4,91.8
17.1,11,17,2021,18,10,8.4,91.8
17.2,11,17,2021,18,0,8.4,91.8
18.1,11,17,2021,17,50,8.4,91.8
18.7,11,17,2021,17,40,8.4,91.8
19.1,11,17,2021,17,30,8.4,91.8
18.7,11,17,2021,17,20,8.4,91.8
19.8,11,17,2021,17,10,8.4,91.8
20.9,11,17,2021,17,0,8.4,91.8
20.5,11,17,2021,16,50,8.4,91.8
21.6,11,17,2021,16,40,8.4,91.8
21.1,11,17,2021,16,30,8.4,91.8
22.0,11,17,2021,16,20,8.4,91.8
21.7,11,17,2021,16,10,8.4,91.8
20.8,11,17,2021,16,0,8.4,91.8
20.4,11,17,2021,15,50,8.4,91.8
22.1,11,17,2021,15,40,8.4,91.8
22.9,11,17,2021,15,30,8.4,91.8
22.8,11,17,2021,15,20,8.4,91.8
25.2,11,17,2021,15,10,8.4,91.8
25.0,11,17,2021,15,0,8.4,91.8
24.7,11,17,2021,14,50,8.4,91.8
23.4,11,17,2021,14,40,8.4,91.8
24.5,11,17,2021,14,30,8.4,91.8
25.6,11,17,2021,14,20,8.4,91.8
26.2,11,17,2021,14,10,8.4,91.8
26.0,11,17,2021,14,0,8.4,91.8
24.4,11,17,2021,13,50,8.4,91.8
23.3,11,17,2021,13,40,8.4,91.8
24.6,11,17,2021,13,30,8.4,91.8
25.0,11,17,2021,13,20,8.4,91.8
24.3,11,17,2021,13,10,8.4,91.8
24.5,11,17,2021,13,0,8.4,91.8
24.1,11,17,2021,12,50,8.4,91.8
23.9,11,17,2021,12,40,8.4,91.8
24.2,11,17,2021,12,30,8.4,91.8
23.3,11,17,2021,12,20,8.4,91.8
22.6,11,17,2021,12,10,8.4,91.8
21.8,11,17,2021,12,0,8.4,91.8
22.0,11,17,2021,11,50,8.4,91.8
21.7,11,17,2021,11,40,8.4,91.8
22.3,11,17,2021,11,30,8.4,91.8
18.3,11,17,2021,11,20,8.4,91.8
18.1,11,17,2021,11,10,8.4,91.8
17.6,11,17,2021,11,0,8.4,91.8
20.1,11,17,2021,10,50,8.4,91.8
19.9,11,17,2021,10,40,8.4,91.8
18.9,11,17,2021,10,30,8.4,91.8
19.0,11,17,2021,10,20,8.4,91.8
17.5,11,17,2021,10,10,8.4,91.8
16.8,11,17,2021,10,0,8.4,91.8
16.4,11,17,2021,9,50,8.4,91.8
15.8,11,17,2021,9,40,8.4,91.8
15.5,11,17,2021,9,30,8.4,91.8
14.8,11,17,2021,9,20,8.4,91.8
14.6,11,17,2021,9,10,8.4,91.8
13.7,11,17,2021,9,0,8.4,91.8
13.5,11,17,2021,8,50,8.4,91.8
13.3,11,17,2021,8,40,8.4,91.8
13.9,11,17,2021,8,30,8.4,91.8
15.1,11,17,2021,8,20,8.4,91.8
15.3,11,17,2021,8,10,8.4,91.8
15.1,11,17,2021,8,0,8.4,91.8
11.3,11,17,2021,7,50,8.4,91.8
11.3,11,17,2021,7,40,8.4,91.8
9.8,11,17,2021,7,30,8.4,91.8
8.7,11,17,2021,7,20,8.4,91.8
8.5,11,17,2021,7,10,8.4,91.8
8.4,11,17,2021,7,0,8.4,91.8
7.9,11,17,2021,6,50,8.4,91.8
7.8,11,17,2021,6,40,8.4,91.8
6.5,11,17,2021,6,30,8.4,91.8
4.9,11,17,2021,6,20,8.4,91.8
4.5,11,17,2021,6,10,8.4,91.8
4.6,11,17,2021,6,0,8.4,91.8
4.3,11,17,2021,5,50,8.4,91.8
4.1,11,17,2021,5,40,8.4,91.8
3.8,11,17,2021,5,30,8.4,91.8
4.4,11,17,2021,5,20,8.4,91.8
3.5,11,17,2021,5,10,8.4,91.8
3.2,11,17,2021,5,0,8.4,91.8
3.2,11,17,2021,4,50,8.4,91.8
4.0,11,17,2021,4,40,8.4,91.8
3.8,11,17,2021,4,30,8.4,91.8
3.8,11,17,2021,4,20,8.4,91.8
3.6,11,17,2021,4,10,8.4,91.8
3.8,11,17,2021,4,0,8.4,91.8
4.0,11,17,2021,3,50,8.4,91.8
3.9,11,17,2021,3,40,8.4,91.8
4.0,11,17,2021,3,30,8.4,91.8
4.1,11,17,2021,3,20,8.4,91.8
4.0,11,17,2021,3,10,8.4,91.8
3.8,11,17,2021,3,0,8.4,91.8
4.1,11,17,2021,2,50,8.4,91.8
4.3,11,17,2021,2,40,8.4,91.8
4.2,11,17,2021,2,30,8.4,91.8
4.3,11,17,2021,2,20,8.4,91.8
4.1,11,17,2021,2,10,8.4,91.8
4.0,11,17,2021,2,0,8.4,91.8
3.9,11,17,2021,1,50,8.4,91.8
3.6,11,17,2021,1,40,8.4,91.8
2.0,11,17,2021,1,30,8.4,91.8
1.6,11,17,2021,1,20,8.4,91.8
1.6,11,17,2021,1,10,8.4,91.8
1.9,11,17,2021,1,0,8.4,91.8
1.5,11,17,2021,0,50,8.4,91.8
1.7,11,17,2021,0,40,8.4,91.8
1.9,11,17,2021,0,30,8.4,91.8
2.2,11,17,2021,0,20,8.4,91.8
2.5,11,17,2021,0,10,8.4,91.8
2.7,11,17,2021,0,0,8.4,91.8
3.1,11,16,2021,23,50,8.4,70.4
2.7,11,16,2021,23,40,8.4,70.4
3.6,11,16,2021,23,30,8.4,70.4
3.1,11,16,2021,23,20,8.4,70.4
3.4,11,16,2021,23,10,8.4,70.4
3.6,11,16,2021,23,0,8.4,70.4
4.0,11,16,2021,22,50,8.4,70.4
4.8,11,16,2021,22,40,8.4,70.4
4.5,11,16,2021,22,30,8.4,70.4
4.2,11,16,2021,22,20,8.4,70.4
4.8,11,16,2021,22,10,8.4,70.4
5.0,11,16,2021,22,0,8.4,70.4
5.5,11,16,2021,21,50,8.4,70.4
5.3,11,16,2021,21,40,8.4,70.4
6.0,11,16,2021,21,30,8.4,70.4
6.7,11,16,2021,21,20,8.4,70.4
6.8,11,16,2021,21,10,8.4,70.4
8.6,11,16,2021,21,0,8.4,70.4
8.8,11,16,2021,20,50,8.4,70.4
10.2,11,16,2021,20,40,8.4,70.4
11.1,11,16,2021,20,30,8.4,70.4
9.6,11,16,2021,20,20,8.4,70.4
8.7,11,16,2021,20,10,8.4,70.4
10.2,11,16,2021,20,0,8.4,70.4
11.4,11,16,2021,19,50,8.4,70.4
13.3,11,16,2021,19,40,8.4,70.4
14.3,11,16,2021,19,30,8.4,70.4
14.8,11,16,2021,19,20,8.4,70.4
15.7,11,16,2021,19,10,8.4,70.4
16.5,11,16,2021,19,0,8.4,70.4
17.2,11,16,2021,18,50,8.4,70.4
17.8,11,16,2021,18,40,8.4,70.4
19.0,11,16,2021,18,30,8.4,70.4
19.3,11,16,2021,18,20,8.4,70.4
19.1,11,16,2021,18,10,8.4,70.4
18.9,11,16,2021,18,0,8.4,70.4
20.6,11,16,2021,17,50,8.4,70.4
19.6,11,16,2021,17,40,8.4,70.4
21.0,11,16,2021,17,30,8.4,70.4
20.0,11,16,2021,17,20,8.4,70.4
22.1,11,16,2021,17,10,8.4,70.4
20.6,11,16,2021,17,0,8.4,70.4
20.8,11,16,2021,16,50,8.4,70.4
20.7,11,16,2021,16,40,8.4,70.4
23.3,11,16,2021,16,30,8.4,70.4
23.2,11,16,2021,16,20,8.4,70.4
23.1,11,16,2021,16,10,8.4,70.4
21.6,11,16,2021,16,0,8.4,70.4
22.9,11,16,2021,15,50,8.4,70.4
23.5,11,16,2021,15,40,8.4,70.4
22.9,11,16,2021,15,30,8.4,70.4
23.1,11,16,2021,15,20,8.4,70.4
23.1,11,16,2021,15,10,8.4,70.4
23.0,11,16,2021,15,0,8.4,70.4
22.6,11,16,2021,14,50,8.4,70.4
23.2,11,16,2021,14,40,8.4,70.4
23.6,11,16,2021,14,30,8.4,70.4
23.3,11,16,2021,14,20,8.4,70.4
22.9,11,16,2021,14,10,8.4,70.4
23.6,11,16,2021,14,0,8.4,70.4
23.6,11,16,2021,13,50,8.4,70.4
23.4,11,16,2021,13,40,8.4,70.4
22.8,11,16,2021,13,30,8.4,70.4
23.1,11,16,2021,13,20,8.4,70.4
23.4,11,16,2021,13,10,8.4,70.4
23.2,11,16,2021,13,0,8.4,70.4
22.7,11,16,2021,12,50,8.4,70.4
22.6,11,16,2021,12,40,8.4,70.4
22.2,11,16,2021,12,30,8.4,70.4
22.2,11,16,2021,12,20,8.4,70.4
20.9,11,16,2021,12,10,8.4,70.4
20.7,11,16,2021,12,0,8.4,70.4
20.3,11,16,2021,11,50,8.4,70.4
20.6,11,16,2021,11,40,8.4,70.4
20.0,11,16,2021,11,30,8.4,70.4
19.6,11,16,2021,11,20,8.4,70.4
19.0,11,16,2021,11,10,8.4,70.4
18.4,11,16,2021,11,0,8.4,70.4
17.5,11,16,2021,10,50,8.4,70.4
16.5,11,16,2021,10,40,8.4,70.4
16.7,11,16,2021,10,30,8.4,70.4
15.5,11,16,2021,10,20,8.4,70.4
15.3,11,16,2021,10,10,8.4,70.4
15.6,11,16,2021,10,0,8.4,70.4
14.1,11,16,2021,9,50,8.4,70.4
14.4,11,16,2021,9,40,8.4,70.4
14.2,11,16,2021,9,30,8.4,70.4
13.9,11,16,2021,9,20,8.4,70.4
13.3,11,16,2021,9,10,8.4,70.4
13.3,11,16,2021,9,0,8.4,70.4
12.7,11,16,2021,8,50,8.4,70.4
12.8,11,16,2021,8,40,8.4,70.4
12.8,11,16,2021,8,30,8.4,70.4
14.8,11,16,2021,8,20,8.4,70.4
15.1,11,16,2021,8,10,8.4,70.4
14.6,11,16,2021,8,0,8.4,70.4
14.4,11,16,2021,7,50,8.4,70.4
13.8,11,16,2021,7,40,8.4,70.4
12.8,11,16,2021,7,30,8.4,70.4
11.5,11,16,2021,7,20,8.4,70.4
11.0,11,16,2021,7,10,8.4,70.4
8.9,11,16,2021,7,0,8.4,70.4
7.5,11,16,2021,6,50,8.4,70.4
5.5,11,16,2021,6,40,8.4,70.4
5.4,11,16,2021,6,30,8.4,70.4
4.1,11,16,2021,6,20,8.4,70.4
4.0,11,16,2021,6,10,8.4,70.4
4.2,11,16,2021,6,0,8.4,70.4
3.5,11,16,2021,5,50,8.4,70.4
2.7,11,16,2021,5,40,8.4,70.4
3.2,11,16,2021,5,30,8.4,70.4
3.3,11,16,2021,5,20,8.4,70.4
3.0,11,16,2021,5,10,8.4,70.4
2.3,11,16,2021,5,0,8.4,70.4
2.8,11,16,2021,4,50,8.4,70.4
2.7,11,16,2021,4,40,8.4,70.4
3.0,11,16,2021,4,30,8.4,70.4
2.6,11,16,2021,4,20,8.4,70.4
2.6,11,16,2021,4,10,8.4,70.4
2.8,11,16,2021,4,0,8.4,70.4
2.3,11,16,2021,3,50,8.4,70.4
2.3,11,16,2021,3,40,8.4,70.4
2.6,11,16,2021,3,30,8.4,70.4
2.7,11,16,2021,3,20,8.4,70.4
3.1,11,16,2021,3,10,8.4,70.4
3.3,11,16,2021,3,0,8.4,70.4
3.1,11,16,2021,2,50,8.4,70.4
3.0,11,16,2021,2,40,8.4,70.4
3.1,11,16,2021,2,30,8.4,70.4
1.6,11,16,2021,2,20,8.4,70.4
2.0,11,16,2021,2,10,8.4,70.4
2.3,11,16,2021,2,0,8.4,70.4
2.8,11,16,2021,1,50,8.4,70.4
2.9,11,16,2021,1,40,8.4,70.4
2.9,11,16,2021,1,30,8.4,70.4
2.7,11,16,2021,1,20,8.4,70.4
3.3,11,16,2021,1,10,8.4,70.4
3.8,11,16,2021,1,0,8.4,70.4
3.9,11,16,2021,0,50,8.4,70.4
3.8,11,16,2021,0,40,8.4,70.4
4.0,11,16,2021,0,30,8.4,70.4
3.9,11,16,2021,0,20,8.4,70.4
4.3,11,16,2021,0,10,8.4,70.4
3.7,11,16,2021,0,0,8.4,70.4
3.2,11,15,2021,23,50,8.4,75.1
2.8,11,15,2021,23,40,8.4,75.1
2.9,11,15,2021,23,30,8.4,75.1
2.4,11,15,2021,23,20,8.4,75.1
3.2,11,15,2021,23,10,8.4,75.1
2.6,11,15,2021,23,0,8.4,75.1
3.1,11,15,2021,22,50,8.4,75.1
2.8,11,15,2021,22,40,8.4,75.1
3.6,11,15,2021,22,30,8.4,75.1
4.8,11,15,2021,22,20,8.4,75.1
3.5,11,15,2021,22,10,8.4,75.1
3.9,11,15,2021,22,0,8.4,75.1
4.0,11,15,2021,21,50,8.4,75.1
3.9,11,15,2021,21,40,8.4,75.1
4.5,11,15,2021,21,30,8.4,75.1
4.9,11,15,2021,21,20,8.4,75.1
5.9,11,15,2021,21,10,8.4,75.1
6.6,11,15,2021,21,0,8.4,75.1
7.1,11,15,2021,20,50,8.4,75.1
7.8,11,15,2021,20,40,8.4,75.1
8.2,11,15,2021,20,30,8.4,75.1
8.7,11,15,2021,20,20,8.4,75.1
9.1,11,15,2021,20,10,8.4,75.1
9.8,11,15,2021,20,0,8.4,75.1
9.5,11,15,2021,19,50,8.4,75.1
9.5,11,15,2021,19,40,8.4,75.1
9.3,11,15,2021,19,30,8.4,75.1
10.0,11,15,2021,19,20,8.4,75.1
11.3,11,15,2021,19,10,8.4,75.1
11.9,11,15,2021,19,0,8.4,75.1
13.2,11,15,2021,18,50,8.4,75.1
14.2,11,15,2021,18,40,8.4,75.1
13.4,11,15,2021,18,30,8.4,75.1
13.2,11,15,2021,18,20,8.4,75.1
15.1,11,15,2021,18,10,8.4,75.1
16.1,11,15,2021,18,0,8.4,75.1
15.9,11,15,2021,17,50,8.4,75.1
14.4,11,15,2021,17,40,8.4,75.1
15.6,11,15,2021,17,30,8.4,75.1
14.4,11,15,2021,17,20,8.4,75.1
13.4,11,15,2021,17,10,8.4,75.1
12.8,11,15,2021,17,0,8.4,75.1
13.0,11,15,2021,16,50,8.4,75.1
13.6,11,15,2021,16,40,8.4,75.1
12.8,11,15,2021,16,30,8.4,75.1
11.7,11,15,2021,16,20,8.4,75.1
12.6,11,15,2021,16,10,8.4,75.1
14.0,11,15,2021,16,0,8.4,75.1
14.9,11,15,2021,15,50,8.4,75.1
12.1,11,15,2021,15,40,8.4,75.1
12.4,11,15,2021,15,30,8.4,75.1
13.5,11,15,2021,15,20,8.4,75.1
15.2,11,15,2021,15,10,8.4,75.1
15.1,11,15,2021,15,0,8.4,75.1
15.9,11,15,2021,14,50,8.4,75.1
15.3,11,15,2021,14,40,8.4,75.1
15.3,11,15,2021,14,30,8.4,75.1
16.6,11,15,2021,14,20,8.4,75.1
20.1,11,15,2021,14,10,8.4,75.1
21.5,11,15,2021,14,0,8.4,75.1
20.4,11,15,2021,13,50,8.4,75.1
17.5,11,15,2021,13,40,8.4,75.1
17.5,11,15,2021,13,30,8.4,75.1
18.3,11,15,2021,13,20,8.4,75.1
16.8,11,15,2021,13,10,8.4,75.1
16.9,11,15,2021,13,0,8.4,75.1
18.1,11,15,2021,12,50,8.4,75.1
16.8,11,15,2021,12,40,8.4,75.1
